,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group
2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,169.81417575758744,155.47023535354754,169.81417575758744,169.81417575758744,15.336130303033213,KubeletOnly
5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],AbsPower,170.12346830501605,170.12346830501605,166.97785454545766,166.97785454545766,13.835857438801513,KubeletOnly
3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,172.86640395453526,172.86640395453526,170.95135757576227,170.95135757576227,16.276027807072996,KubeletOnly
0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,176.05464242423997,169.1038764837,176.05464242423997,176.05464242423997,21.078354765772545,KubeletOnly
4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,188.0467120712669,188.0467120712669,172.620903030303,172.620903030303,20.308333912462334,CgroupOnly
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,203.80892722387384,203.80892722387384,169.28199393939082,169.28199393939082,14.189859722083858,KubeletOnly
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,229.75246630917783,229.75246630917783,171.87542424242287,171.87542424242287,19.389915665829264,CgroupOnly
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,230.88196998408912,230.88196998408912,169.52503030304214,169.52503030304214,16.029462113258152,BPFIRQ
1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,233.16741840457865,233.16741840457865,166.4695818181813,166.4695818181813,14.73134964170145,BPFOnly
4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,240.87926218449516,240.87926218449516,172.36664242424675,172.36664242424675,18.671452922033005,KubeletOnly
