,timestamp,bpf_cpu_time_us,platform_power,node_type,id
0,1695115663,1321.0,19.0,1.0,all containers
1,1695115666,1139.6666666666667,11.0,1.0,all containers
2,1695115669,722.0,0.0,1.0,all containers
3,1695115672,487.6666666666667,0.0,1.0,all containers
4,1695115675,477.3333333333333,0.0,1.0,all containers
5,1695115678,528.0,0.0,1.0,all containers
6,1695115681,496.6666666666667,0.0,1.0,all containers
7,1695115684,489.66666666666663,0.0,1.0,all containers
8,1695115687,522.3333333333333,0.0,1.0,all containers
9,1695115690,498.33333333333337,0.0,1.0,all containers
10,1695115693,500.0,0.0,1.0,all containers
11,1695115696,519.6666666666667,0.0,1.0,all containers
12,1695115699,538.3333333333334,0.0,1.0,all containers
13,1695115702,540.3333333333334,0.0,1.0,all containers
14,1695115705,505.33333333333337,0.0,1.0,all containers
15,1695115708,568.0,9.0,1.0,all containers
16,1695115711,1481.3333333333333,50.0,1.0,all containers
17,1695115714,1488.6666666666665,48.0,1.0,all containers
18,1695115717,1507.0,48.0,1.0,all containers
19,1695115720,1448.0,51.0,1.0,all containers
20,1695115723,1524.6666666666665,49.0,1.0,all containers
21,1695115726,1477.0,52.0,1.0,all containers
22,1695115729,1531.0,48.0,1.0,all containers
23,1695115732,1471.3333333333333,52.0,1.0,all containers
24,1695115735,1488.6666666666665,49.0,1.0,all containers
25,1695115738,1505.0,49.0,1.0,all containers
26,1695115741,581.6666666666667,0.0,1.0,all containers
27,1695115744,485.0,0.0,1.0,all containers
28,1695115747,519.3333333333334,0.0,1.0,all containers
29,1695115750,514.3333333333334,0.0,1.0,all containers
30,1695115753,568.6666666666667,3.0,1.0,all containers
31,1695115756,2336.666666666667,59.0,1.0,all containers
32,1695115759,2453.666666666667,58.0,1.0,all containers
33,1695115762,2396.3333333333335,56.0,1.0,all containers
34,1695115765,2439.666666666667,55.0,1.0,all containers
35,1695115768,2433.3333333333335,56.0,1.0,all containers
36,1695115771,2484.0,59.0,1.0,all containers
37,1695115774,2448.6666666666665,56.0,1.0,all containers
38,1695115777,2424.3333333333335,56.0,1.0,all containers
39,1695115780,2476.0,58.0,1.0,all containers
40,1695115783,2448.6666666666665,58.0,1.0,all containers
41,1695115786,679.0,0.0,1.0,all containers
42,1695115789,642.0,0.0,1.0,all containers
43,1695115792,518.0,0.0,1.0,all containers
44,1695115795,489.0,0.0,1.0,all containers
45,1695115798,576.6666666666666,2.0,1.0,all containers
46,1695115801,4014.666666666667,41.0,1.0,all containers
47,1695115804,4279.666666666667,41.0,1.0,all containers
48,1695115807,4373.666666666667,41.0,1.0,all containers
49,1695115810,4284.333333333333,40.0,1.0,all containers
50,1695115813,4283.666666666667,42.0,1.0,all containers
51,1695115816,4294.666666666666,41.0,1.0,all containers
52,1695115819,4348.333333333334,40.0,1.0,all containers
53,1695115822,4345.666666666667,42.0,1.0,all containers
54,1695115825,4258.0,39.0,1.0,all containers
55,1695115828,4312.0,41.0,1.0,all containers
56,1695115831,884.0,6.0,1.0,all containers
57,1695115834,495.0,0.0,1.0,all containers
58,1695115837,538.6666666666666,0.0,1.0,all containers
59,1695115840,516.3333333333334,0.0,1.0,all containers
60,1695115843,613.3333333333334,4.0,1.0,all containers
61,1695115846,7101.333333333334,47.0,1.0,all containers
62,1695115849,8059.333333333333,47.0,1.0,all containers
63,1695115852,8057.333333333334,48.0,1.0,all containers
64,1695115855,8022.333333333333,49.0,1.0,all containers
65,1695115858,8080.333333333333,50.0,1.0,all containers
66,1695115861,8066.999999999999,47.0,1.0,all containers
67,1695115864,8023.666666666667,48.0,1.0,all containers
68,1695115867,8073.0,49.0,1.0,all containers
69,1695115870,8041.666666666667,48.0,1.0,all containers
70,1695115873,8061.333333333334,49.0,1.0,all containers
71,1695115876,1762.6666666666667,0.0,1.0,all containers
72,1695115879,492.0,2.0,1.0,all containers
73,1695115882,516.3333333333334,0.0,1.0,all containers
74,1695115885,535.3333333333333,0.0,1.0,all containers
75,1695115888,588.0,5.0,1.0,all containers
76,1695115891,11206.0,64.0,1.0,all containers
77,1695115894,14555.666666666666,61.0,1.0,all containers
78,1695115897,14615.666666666666,61.0,1.0,all containers
79,1695115900,14606.666666666666,60.0,1.0,all containers
80,1695115903,14634.666666666668,63.0,1.0,all containers
81,1695115906,14565.333333333332,62.0,1.0,all containers
82,1695115909,14595.333333333332,62.0,1.0,all containers
83,1695115912,14587.0,61.0,1.0,all containers
84,1695115915,14548.666666666666,61.0,1.0,all containers
85,1695115918,14571.0,61.0,1.0,all containers
86,1695115921,4287.333333333334,3.0,1.0,all containers
87,1695115924,510.0,0.0,1.0,all containers
88,1695115927,522.3333333333334,0.0,1.0,all containers
89,1695115930,531.0,0.0,1.0,all containers
90,1695115933,515.6666666666667,0.0,1.0,all containers
91,1695115936,15872.666666666666,65.0,1.0,all containers
92,1695115939,23046.666666666668,67.0,1.0,all containers
93,1695115942,23004.999999999996,69.0,1.0,all containers
94,1695115945,22955.333333333332,66.0,1.0,all containers
95,1695115948,23003.666666666668,67.0,1.0,all containers
96,1695115951,23010.333333333332,69.0,1.0,all containers
97,1695115954,22959.333333333336,67.0,1.0,all containers
98,1695115957,22994.666666666668,66.0,1.0,all containers
99,1695115960,22997.666666666668,68.0,1.0,all containers
100,1695115963,23040.0,66.0,1.0,all containers
101,1695115966,8170.0,0.0,1.0,all containers
102,1695115969,521.3333333333333,0.0,1.0,all containers
103,1695115972,519.3333333333334,0.0,1.0,all containers
104,1695115975,510.33333333333337,0.0,1.0,all containers
105,1695115978,517.0,0.0,1.0,all containers
106,1695115981,353.3333333333333,68.0,1.0,all containers
107,1695115984,28672.666666666668,68.0,1.0,all containers
108,1695115987,28609.666666666668,69.0,1.0,all containers
109,1695115990,28581.666666666668,70.0,1.0,all containers
110,1695115993,28509.333333333332,70.0,1.0,all containers
111,1695115996,28644.333333333332,71.0,1.0,all containers
112,1695115999,28637.666666666668,70.0,1.0,all containers
113,1695116002,28550.666666666664,69.0,1.0,all containers
114,1695116005,28606.0,69.0,1.0,all containers
115,1695116008,28488.0,71.0,1.0,all containers
116,1695116011,10854.333333333334,6.0,1.0,all containers
117,1695116014,538.6666666666666,0.0,1.0,all containers
118,1695116017,530.0,0.0,1.0,all containers
119,1695116020,504.3333333333333,0.0,1.0,all containers
120,1695116023,540.3333333333333,0.0,1.0,all containers
121,1695116026,342.6666666666667,70.0,1.0,all containers
122,1695116029,28505.0,70.0,1.0,all containers
123,1695116032,28511.0,69.0,1.0,all containers
124,1695116035,28549.0,68.0,1.0,all containers
125,1695116038,28643.0,68.0,1.0,all containers
126,1695116041,28467.000000000004,67.0,1.0,all containers
127,1695116044,28543.333333333332,69.0,1.0,all containers
128,1695116047,28545.0,71.0,1.0,all containers
129,1695116050,28602.333333333332,68.0,1.0,all containers
130,1695116053,28566.333333333332,70.0,1.0,all containers
131,1695116056,14371.666666666666,0.0,1.0,all containers
132,1695116059,520.3333333333334,0.0,1.0,all containers
133,1695116062,530.0,0.0,1.0,all containers
134,1695116065,494.66666666666663,0.0,1.0,all containers
135,1695116068,483.3333333333333,0.0,1.0,all containers
136,1695116071,521.3333333333334,11.0,1.0,all containers
137,1695116074,4274.333333333333,53.0,1.0,all containers
138,1695116077,4328.0,51.0,1.0,all containers
139,1695116080,4315.666666666667,53.0,1.0,all containers
140,1695116083,4359.0,53.0,1.0,all containers
141,1695116086,4299.0,53.0,1.0,all containers
142,1695116089,4330.0,53.0,1.0,all containers
143,1695116092,4311.0,54.0,1.0,all containers
144,1695116095,4282.666666666666,52.0,1.0,all containers
145,1695116098,4291.666666666667,52.0,1.0,all containers
146,1695116101,3634.3333333333335,37.0,1.0,all containers
147,1695116104,491.6666666666667,0.0,1.0,all containers
148,1695116107,576.0,0.0,1.0,all containers
149,1695116110,505.0,1.0,1.0,all containers
150,1695116113,498.33333333333337,0.0,1.0,all containers
151,1695116116,551.6666666666666,37.0,1.0,all containers
152,1695116119,8089.666666666667,69.0,1.0,all containers
153,1695116122,8094.333333333333,71.0,1.0,all containers
154,1695116125,8121.333333333333,73.0,1.0,all containers
155,1695116128,8112.999999999999,69.0,1.0,all containers
156,1695116131,8093.0,71.0,1.0,all containers
157,1695116134,8052.333333333333,70.0,1.0,all containers
158,1695116137,8124.666666666667,71.0,1.0,all containers
159,1695116140,8070.0,69.0,1.0,all containers
160,1695116143,8153.333333333333,73.0,1.0,all containers
161,1695116146,7219.666666666666,71.0,1.0,all containers
162,1695116149,558.6666666666666,0.0,1.0,all containers
163,1695116152,501.3333333333333,0.0,1.0,all containers
164,1695116155,510.3333333333333,0.0,1.0,all containers
165,1695116158,519.0,0.0,1.0,all containers
166,1695116161,554.3333333333334,29.0,1.0,all containers
167,1695116164,14641.666666666666,103.0,1.0,all containers
168,1695116167,14694.999999999998,102.0,1.0,all containers
169,1695116170,14652.0,104.0,1.0,all containers
