,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,package_mae,core_mae,uncore_mae,dram_mae,package_mape,core_mape,uncore_mape,dram_mape,trainer,node_type,feature_group
0,42,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,4.85,1.88,4.85,0.0,0.0,0.42,4.09,-1,-1,1.88,GradientBoostingRegressorTrainer,1,BPFIRQ
1,10,LogarithmicRegressionTrainer_1,curvefit,LogarithmicRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,8.62,18.14,8.62,0.0,0.0,3.64,9.47,-1,-1,18.14,LogarithmicRegressionTrainer,1,BPFIRQ
2,28,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,10.03,6.5,10.03,0.0,0.0,1.31,8.13,-1,-1,6.5,KNeighborsRegressorTrainer,1,BPFIRQ
3,43,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,10.68,10.45,10.68,0.0,0.0,2.58,15.47,-1,-1,10.45,PolynomialRegressionTrainer,1,BPFIRQ
4,25,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,10.98,8.71,10.98,0.0,0.0,1.72,12.63,-1,-1,8.71,XgboostFitTrainer,1,BPFIRQ
5,49,GradientBoostingRegressorTrainer_4,scikit,GradientBoostingRegressorTrainer_4.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,12.08,4.85,12.08,0.0,0.0,0.8,3.04,-1,-1,4.85,GradientBoostingRegressorTrainer,4,BPFIRQ
6,46,GradientBoostingRegressorTrainer_5,scikit,GradientBoostingRegressorTrainer_5.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,12.94,0.42,12.94,0.0,0.0,0.13,8.19,-1,-1,0.42,GradientBoostingRegressorTrainer,5,BPFIRQ
7,22,XgboostFitTrainer_0,xgboost,XgboostFitTrainer_0.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,17.21,4.53,17.21,0.0,0.0,0.96,9.49,-1,-1,4.53,XgboostFitTrainer,0,BPFIRQ
8,29,XgboostFitTrainer_2,xgboost,XgboostFitTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,19.82,5.34,19.82,0.0,0.0,0.86,6.1,-1,-1,5.34,XgboostFitTrainer,2,BPFIRQ
9,34,GradientBoostingRegressorTrainer_2,scikit,GradientBoostingRegressorTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,19.91,4.99,19.91,0.0,0.0,0.78,8.67,-1,-1,4.99,GradientBoostingRegressorTrainer,2,BPFIRQ
