,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,package_mae,core_mae,uncore_mae,dram_mae,package_mape,core_mape,uncore_mape,dram_mape,trainer,node_type,feature_group
1,42,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,5.16,18.49,5.16,0.0,0.0,0.91,17.12,-1,-1,18.49,GradientBoostingRegressorTrainer,1,BPFIRQ
2,25,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,8.14,22.25,8.14,0.0,0.0,1.68,52.77,-1,-1,22.25,XgboostFitTrainer,1,BPFIRQ
3,28,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,8.82,11.09,8.82,0.0,0.0,0.89,28.95,-1,-1,11.09,KNeighborsRegressorTrainer,1,BPFIRQ
19,29,XgboostFitTrainer_2,xgboost,XgboostFitTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,42.39,10.34,42.39,0.0,0.0,0.38,37.33,-1,-1,10.34,XgboostFitTrainer,2,BPFIRQ
45,49,GradientBoostingRegressorTrainer_4,scikit,GradientBoostingRegressorTrainer_4.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,89.29,9.76,89.29,0.0,0.0,0.69,200.15,-1,-1,9.76,GradientBoostingRegressorTrainer,4,BPFIRQ
54,42,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,2.94,17.23,2.94,0.0,0.0,0.7,48.02,-1,-1,17.23,GradientBoostingRegressorTrainer,1,BPFOnly
55,28,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,4.12,38.81,4.12,0.0,0.0,1.0,15.45,-1,-1,38.81,KNeighborsRegressorTrainer,1,BPFOnly
56,25,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,5.03,34.41,5.03,0.0,0.0,0.94,11.83,-1,-1,34.41,XgboostFitTrainer,1,BPFOnly
60,41,GradientBoostingRegressorTrainer_0,scikit,GradientBoostingRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,16.65,17.6,16.65,0.0,0.0,0.41,20.5,-1,-1,17.6,GradientBoostingRegressorTrainer,0,BPFOnly
62,26,XgboostFitTrainer_3,xgboost,XgboostFitTrainer_3.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,19.51,15.08,19.51,0.0,0.0,1.18,76.56,-1,-1,15.08,XgboostFitTrainer,3,BPFOnly
72,2,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,28.54,19.92,28.54,0.0,0.0,2.55,375.51,-1,-1,19.92,SGDRegressorTrainer,1,BPFOnly
97,16,SGDRegressorTrainer_4,scikit,SGDRegressorTrainer_4.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,73.98,12.78,73.98,0.0,0.0,0.85,212.62,-1,-1,12.78,SGDRegressorTrainer,4,BPFOnly
108,42,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,3.26,59.61,3.26,0.0,0.0,0.65,19.23,-1,-1,59.61,GradientBoostingRegressorTrainer,1,CounterIRQCombined
109,10,LogarithmicRegressionTrainer_1,curvefit,LogarithmicRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.45,50.27,4.45,0.0,0.0,1.6,81.95,-1,-1,50.27,LogarithmicRegressionTrainer,1,CounterIRQCombined
