,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,package_mae,core_mae,uncore_mae,dram_mae,package_mape,core_mape,uncore_mape,dram_mape,trainer,node_type,feature_group
0,27,PolynomialRegressionTrainer_3,scikit,PolynomialRegressionTrainer_3.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.31,PolynomialRegressionTrainer,3,BPFIRQ
1,30,PolynomialRegressionTrainer_2,scikit,PolynomialRegressionTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,-1,0.01,PolynomialRegressionTrainer,2,BPFIRQ
2,32,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,-1,0.04,LinearRegressionTrainer,1,BPFIRQ
3,33,LinearRegressionTrainer_3,scikit,LinearRegressionTrainer_3.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,-1,0.03,LinearRegressionTrainer,3,BPFIRQ
4,38,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.01,-1,0.04,PolynomialRegressionTrainer,1,BPFIRQ
5,40,LinearRegressionTrainer_2,scikit,LinearRegressionTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.05,-1,0.02,LinearRegressionTrainer,2,BPFIRQ
6,37,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.72,2.66,0.11,0.72,0.0,0.1,0.51,2.28,-1,2.66,GradientBoostingRegressorTrainer,1,BPFIRQ
7,5,SGDRegressorTrainer_3,scikit,SGDRegressorTrainer_3.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.75,24.44,0.72,0.75,0.0,0.25,11.19,15.22,-1,24.44,SGDRegressorTrainer,3,BPFIRQ
8,29,GradientBoostingRegressorTrainer_2,scikit,GradientBoostingRegressorTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.75,1.25,0.75,0.66,0.0,0.07,2.08,5.27,-1,1.25,GradientBoostingRegressorTrainer,2,BPFIRQ
9,2,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.8,24.63,0.8,0.55,0.0,0.22,13.1,9.02,-1,24.63,SGDRegressorTrainer,1,BPFIRQ
10,7,SGDRegressorTrainer_2,scikit,SGDRegressorTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.8,22.98,0.48,0.8,0.0,0.23,8.26,7.77,-1,22.98,SGDRegressorTrainer,2,BPFIRQ
11,28,GradientBoostingRegressorTrainer_3,scikit,GradientBoostingRegressorTrainer_3.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,0.83,2.93,0.83,0.44,0.0,0.07,2.03,1.91,-1,2.93,GradientBoostingRegressorTrainer,3,BPFIRQ
12,20,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,1.47,8.51,1.11,1.47,0.0,0.27,1.76,4.44,-1,8.51,XgboostFitTrainer,1,BPFIRQ
13,21,XgboostFitTrainer_3,xgboost,XgboostFitTrainer_3.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,3.01,3.72,0.79,3.01,0.0,0.58,2.92,6.02,-1,3.72,XgboostFitTrainer,3,BPFIRQ
14,24,XgboostFitTrainer_2,xgboost,XgboostFitTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,3.58,2.37,0.67,3.58,0.0,0.53,3.43,2.9,-1,2.37,XgboostFitTrainer,2,BPFIRQ
15,18,KNeighborsRegressorTrainer_3,scikit,KNeighborsRegressorTrainer_3.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,4.74,16.81,4.74,4.58,0.0,0.7,24.18,63.73,-1,16.81,KNeighborsRegressorTrainer,3,BPFIRQ
