,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,package_mae,core_mae,uncore_mae,dram_mae,package_mape,core_mape,uncore_mape,dram_mape,trainer,node_type,feature_group
0,32,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,1.85,56.87,1.85,0.0,0.0,1.83,206.31,-1,-1,56.87,GradientBoostingRegressorTrainer,1,BPFIRQ
1,15,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,8.29,38.1,8.29,0.0,0.0,1.4,24.74,-1,-1,38.1,XgboostFitTrainer,1,BPFIRQ
3,18,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,8.69,28.84,8.69,0.0,0.0,1.33,59.36,-1,-1,28.84,KNeighborsRegressorTrainer,1,BPFIRQ
4,33,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",['poly_scaler.pkl'],DynPower,9.46,59.49,9.46,0.0,0.0,1.53,448.5,-1,-1,59.49,PolynomialRegressionTrainer,1,BPFIRQ
7,12,XgboostFitTrainer_0,xgboost,XgboostFitTrainer_0.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,18.12,5.67,18.12,0.0,0.0,0.27,79.08,-1,-1,5.67,XgboostFitTrainer,0,BPFIRQ
11,19,XgboostFitTrainer_2,xgboost,XgboostFitTrainer_2.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,23.32,9.75,23.32,0.0,0.0,0.32,2600555758977.15,-1,-1,9.75,XgboostFitTrainer,2,BPFIRQ
18,31,GradientBoostingRegressorTrainer_0,scikit,GradientBoostingRegressorTrainer_0.json,"['bpf_block_irq', 'bpf_cpu_time_ms', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],DynPower,42.05,18.44,42.05,0.0,0.0,0.55,201.57,-1,-1,18.44,GradientBoostingRegressorTrainer,0,BPFIRQ
36,32,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,6.47,6.8,6.47,0.0,0.0,0.4,50.58,-1,-1,6.8,GradientBoostingRegressorTrainer,1,BPFOnly
40,31,GradientBoostingRegressorTrainer_0,scikit,GradientBoostingRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,14.37,7.59,14.37,0.0,0.0,0.25,4383686291251.39,-1,-1,7.59,GradientBoostingRegressorTrainer,0,BPFOnly
44,24,GradientBoostingRegressorTrainer_2,scikit,GradientBoostingRegressorTrainer_2.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,18.89,14.65,18.89,0.0,0.0,0.27,4439408490944.9,-1,-1,14.65,GradientBoostingRegressorTrainer,2,BPFOnly
52,17,KNeighborsRegressorTrainer_0,scikit,KNeighborsRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,39.14,5.87,39.14,0.0,0.0,0.24,1977870839315.33,-1,-1,5.87,KNeighborsRegressorTrainer,0,BPFOnly
61,0,SVRRegressorTrainer_0,scikit,SVRRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,72.42,17.05,72.42,0.0,0.0,1.54,336.17,-1,-1,17.05,SVRRegressorTrainer,0,BPFOnly
66,20,LinearRegressionTrainer_0,scikit,LinearRegressionTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],DynPower,84.49,18.14,84.49,0.0,0.0,1.94,3333.64,-1,-1,18.14,LinearRegressionTrainer,0,BPFOnly
72,18,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.0,35.64,2.0,0.0,0.0,0.88,19.31,-1,-1,35.64,KNeighborsRegressorTrainer,1,Basic
73,32,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.07,12.7,2.07,0.0,0.0,0.66,20.81,-1,-1,12.7,GradientBoostingRegressorTrainer,1,Basic
74,27,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.28,79.87,1.85,0.0,0.0,2.28,117.43,-1,-1,79.87,LinearRegressionTrainer,1,Basic
77,33,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,3.86,10.0,3.86,0.0,0.0,0.38,11.5,-1,-1,10.0,PolynomialRegressionTrainer,1,Basic
78,15,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.18,38.13,4.18,0.0,0.0,0.79,69.67,-1,-1,38.13,XgboostFitTrainer,1,Basic
79,31,GradientBoostingRegressorTrainer_0,scikit,GradientBoostingRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.3,3.45,4.3,0.0,0.0,0.15,2979795755632.51,-1,-1,3.45,GradientBoostingRegressorTrainer,0,Basic
81,30,PolynomialRegressionTrainer_0,scikit,PolynomialRegressionTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,5.44,15.32,5.44,0.0,0.0,0.35,34.75,-1,-1,15.32,PolynomialRegressionTrainer,0,Basic
83,20,LinearRegressionTrainer_0,scikit,LinearRegressionTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,6.95,13.86,6.95,0.0,0.0,0.64,12435844758196.5,-1,-1,13.86,LinearRegressionTrainer,0,Basic
86,14,KNeighborsRegressorTrainer_2,scikit,KNeighborsRegressorTrainer_2.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,7.97,31.24,7.97,0.0,0.0,0.24,13.46,-1,-1,31.24,KNeighborsRegressorTrainer,2,Basic
88,12,XgboostFitTrainer_0,xgboost,XgboostFitTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,9.8,14.13,9.8,0.0,0.0,0.43,652476537926.7,-1,-1,14.13,XgboostFitTrainer,0,Basic
90,1,SGDRegressorTrainer_0,scikit,SGDRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,11.02,8.87,11.02,0.0,0.0,0.51,71.0,-1,-1,8.87,SGDRegressorTrainer,0,Basic
103,0,SVRRegressorTrainer_0,scikit,SVRRegressorTrainer_0.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions']",[],DynPower,70.45,4.31,70.45,0.0,0.0,0.17,1840.33,-1,-1,4.31,SVRRegressorTrainer,0,Basic
144,12,XgboostFitTrainer_0,xgboost,XgboostFitTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.63,19.89,2.63,0.0,0.0,0.27,307981143705.1,-1,-1,19.89,XgboostFitTrainer,0,CounterIRQCombined
145,27,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.82,75.58,2.82,0.0,0.0,2.08,163.01,-1,-1,75.58,LinearRegressionTrainer,1,CounterIRQCombined
146,32,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.84,40.26,2.84,0.0,0.0,0.31,27.66,-1,-1,40.26,GradientBoostingRegressorTrainer,1,CounterIRQCombined
147,15,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,3.42,41.13,3.42,0.0,0.0,0.74,9.06,-1,-1,41.13,XgboostFitTrainer,1,CounterIRQCombined
148,8,LogarithmicRegressionTrainer_1,curvefit,LogarithmicRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.46,28.56,4.46,0.0,0.0,1.99,28.48,-1,-1,28.56,LogarithmicRegressionTrainer,1,CounterIRQCombined
149,33,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,5.09,8.42,5.09,0.0,0.0,0.66,405.05,-1,-1,8.42,PolynomialRegressionTrainer,1,CounterIRQCombined
150,31,GradientBoostingRegressorTrainer_0,scikit,GradientBoostingRegressorTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,5.12,5.65,5.12,0.0,0.0,0.2,33770136221.55,-1,-1,5.65,GradientBoostingRegressorTrainer,0,CounterIRQCombined
153,30,PolynomialRegressionTrainer_0,scikit,PolynomialRegressionTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,7.08,11.21,7.08,0.0,0.0,0.26,20412429624825.08,-1,-1,11.21,PolynomialRegressionTrainer,0,CounterIRQCombined
158,20,LinearRegressionTrainer_0,scikit,LinearRegressionTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,7.91,19.48,7.91,0.0,0.0,0.52,3.5,-1,-1,19.48,LinearRegressionTrainer,0,CounterIRQCombined
160,1,SGDRegressorTrainer_0,scikit,SGDRegressorTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,9.72,9.31,9.72,0.0,0.0,0.47,3.57,-1,-1,9.31,SGDRegressorTrainer,0,CounterIRQCombined
161,17,KNeighborsRegressorTrainer_0,scikit,KNeighborsRegressorTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,10.62,18.47,10.62,0.0,0.0,0.43,25527988019379.08,-1,-1,18.47,KNeighborsRegressorTrainer,0,CounterIRQCombined
166,18,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,13.61,8.52,13.61,0.0,0.0,0.38,105.86,-1,-1,8.52,KNeighborsRegressorTrainer,1,CounterIRQCombined
175,0,SVRRegressorTrainer_0,scikit,SVRRegressorTrainer_0.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,49.28,9.57,49.28,0.0,0.0,0.29,28.72,-1,-1,9.57,SVRRegressorTrainer,0,CounterIRQCombined
181,15,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.05,20.06,2.05,0.0,0.0,1.24,401.69,-1,-1,20.06,XgboostFitTrainer,1,CounterOnly
182,8,LogarithmicRegressionTrainer_1,curvefit,LogarithmicRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.38,81.31,2.38,0.0,0.0,2.16,65.15,-1,-1,81.31,LogarithmicRegressionTrainer,1,CounterOnly
184,31,GradientBoostingRegressorTrainer_0,scikit,GradientBoostingRegressorTrainer_0.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,2.85,3.99,2.85,0.0,0.0,0.16,563571781094.19,-1,-1,3.99,GradientBoostingRegressorTrainer,0,CounterOnly
185,2,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,3.33,33.61,3.33,0.0,0.0,1.32,36.28,-1,-1,33.61,SGDRegressorTrainer,1,CounterOnly
186,33,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,3.44,16.69,3.44,0.0,0.0,1.01,75.57,-1,-1,16.69,PolynomialRegressionTrainer,1,CounterOnly
187,20,LinearRegressionTrainer_0,scikit,LinearRegressionTrainer_0.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.28,28.06,4.28,0.0,0.0,0.38,47.85,-1,-1,28.06,LinearRegressionTrainer,0,CounterOnly
189,18,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,4.77,65.8,4.77,0.0,0.0,0.57,416.28,-1,-1,65.8,KNeighborsRegressorTrainer,1,CounterOnly
191,12,XgboostFitTrainer_0,xgboost,XgboostFitTrainer_0.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,6.61,51.52,6.61,0.0,0.0,0.56,619374673510.37,-1,-1,51.52,XgboostFitTrainer,0,CounterOnly
194,14,KNeighborsRegressorTrainer_2,scikit,KNeighborsRegressorTrainer_2.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,7.63,13.41,7.63,0.0,0.0,0.25,10284412205282.2,-1,-1,13.41,KNeighborsRegressorTrainer,2,CounterOnly
197,30,PolynomialRegressionTrainer_0,scikit,PolynomialRegressionTrainer_0.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],DynPower,8.43,3.97,8.43,0.0,0.0,0.22,114.22,-1,-1,3.97,PolynomialRegressionTrainer,0,CounterOnly
199,32,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,9.76,20.44,9.76,0.0,0.0,0.84,42.15,-1,-1,20.44,GradientBoostingRegressorTrainer,1,CounterOnly
204,17,KNeighborsRegressorTrainer_0,scikit,KNeighborsRegressorTrainer_0.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],DynPower,18.53,7.08,18.53,0.0,0.0,0.23,11.74,-1,-1,7.08,KNeighborsRegressorTrainer,0,CounterOnly
