,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,trainer,node_type,feature_group
0,3027,LogarithmicRegressionTrainer_72,curvefit,LogarithmicRegressionTrainer_72.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.05,0.35,0.05,0.35,LogarithmicRegressionTrainer,72,BPFOnly
1,2605,LogisticRegressionTrainer_72,curvefit,LogisticRegressionTrainer_72.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.07,0.43,0.07,0.43,LogisticRegressionTrainer,72,BPFOnly
2,2809,GradientBoostingRegressorTrainer_77,scikit,GradientBoostingRegressorTrainer_77.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.07,0.16,0.07,0.16,GradientBoostingRegressorTrainer,77,BPFOnly
3,2737,LogarithmicRegressionTrainer_75,curvefit,LogarithmicRegressionTrainer_75.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.08,0.05,0.08,0.05,LogarithmicRegressionTrainer,75,BPFOnly
4,1748,LogarithmicRegressionTrainer_15,curvefit,LogarithmicRegressionTrainer_15.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.1,0.1,0.1,0.1,LogarithmicRegressionTrainer,15,BPFOnly
5,1810,PolynomialRegressionTrainer_208,scikit,PolynomialRegressionTrainer_208.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,0.1,0.08,0.1,0.08,PolynomialRegressionTrainer,208,BPFOnly
6,614,SGDRegressorTrainer_72,scikit,SGDRegressorTrainer_72.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.11,0.7,0.11,0.7,SGDRegressorTrainer,72,BPFOnly
7,1814,LinearRegressionTrainer_72,scikit,LinearRegressionTrainer_72.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.11,0.75,0.11,0.75,LinearRegressionTrainer,72,BPFOnly
8,2710,PolynomialRegressionTrainer_34,scikit,PolynomialRegressionTrainer_34.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,0.12,0.12,0.12,0.12,PolynomialRegressionTrainer,34,BPFOnly
9,2621,GradientBoostingRegressorTrainer_72,scikit,GradientBoostingRegressorTrainer_72.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.13,0.78,0.13,0.78,GradientBoostingRegressorTrainer,72,BPFOnly
10,1262,PolynomialRegressionTrainer_72,scikit,PolynomialRegressionTrainer_72.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,0.14,0.97,0.14,0.97,PolynomialRegressionTrainer,72,BPFOnly
11,2473,ExponentialRegressionTrainer_10,curvefit,ExponentialRegressionTrainer_10.json,"['bpf_cpu_time_ms', 'bpf_page_cache_hit']",[],AbsPower,0.15,0.07,0.15,0.07,ExponentialRegressionTrainer,10,BPFOnly
